Query,Response
Hi there  ,"Hello, How can I help you"
How are you,"Hello, How can I help you"
Hello,"Hello, How can I help you"
Hi ,"Hello, How can I help you"
Bye,"See you later, Bye Bye"
See you later,"See you later, Bye Bye"
Goodbye,"See you later, Bye Bye"
Thanks,Happy to help you
Thank you,Happy to help you
I have cold,"**Herbal Remedies:**\n\n* **Ginger (Zingiber officinale):** Antibacterial, antiviral, and anti-inflammatory. Boil ginger in water and sip as a tea.\n* **Honey:** Antibacterial and soothing. Add honey to warm water or tea.\n* **Turmeric (Curcuma longa):** Anti-inflammatory and antimicrobial. Grind turmeric into a paste and apply to the chest or take as a capsule.\n* **Tulsi (Ocimum sanctum):** Antibacterial, antiviral, and immune-boosting. Boil tulsi leaves in water and drink as a tea.\n* **Guduchi (Tinospora cordifolia):** Boosts immunity and reduces inflammation. Take as a capsule or tea.\n\n**Rasayana Remedies (Rejuvenating Tonics):**\n\n* **Chyavanprash:** A polyherbal jam containing amla (Indian gooseberry), honey, and other herbs. Boosts immunity and provides antioxidants.\n* **Ashwagandha (Withania somnifera):** Adaptogenic herb that reduces stress and enhances immune function. Take as a capsule or powder.\n* **Triphala:** A combination of three fruits (amla, bibhitaki, and haritaki). Cleanses the body and supports digestion, which can improve immunity.\n\n**Nasal Remedies:**\n\n* **Nasya Oil:** Medicated oil that is applied to the nasal passages to clear congestion and reduce inflammation.\n* **Steam Inhalation:** Steam helps thin mucus and soothe respiratory passages. Add a few drops of eucalyptus or peppermint essential oil to boiling water and inhale the steam.\n\n**Other Remedies:**\n\n* **Ghee:** Clarified butter that has anti-inflammatory and antimicrobial properties. Ghee can be used to massage the chest or taken internally.\n* **Nasal Irrigation:** Using a neti pot or a saline nasal spray to irrigate the nasal passages can help remove mucus and reduce inflammation.\n* **Rest:** Getting plenty of rest is essential for recovery.\n\n**Note:** It is important to consult with an Ayurvedic practitioner before taking any medications, as some can have contraindications or may not be suitable for everyone."
cold,"**Herbal Remedies:**\n\n* **Ginger (Zingiber officinale):** Antibacterial, antiviral, and anti-inflammatory. Boil ginger in water and sip as a tea.\n* **Honey:** Antibacterial and soothing. Add honey to warm water or tea.\n* **Turmeric (Curcuma longa):** Anti-inflammatory and antimicrobial. Grind turmeric into a paste and apply to the chest or take as a capsule.\n* **Tulsi (Ocimum sanctum):** Antibacterial, antiviral, and immune-boosting. Boil tulsi leaves in water and drink as a tea.\n* **Guduchi (Tinospora cordifolia):** Boosts immunity and reduces inflammation. Take as a capsule or tea.\n\n**Rasayana Remedies (Rejuvenating Tonics):**\n\n* **Chyavanprash:** A polyherbal jam containing amla (Indian gooseberry), honey, and other herbs. Boosts immunity and provides antioxidants.\n* **Ashwagandha (Withania somnifera):** Adaptogenic herb that reduces stress and enhances immune function. Take as a capsule or powder.\n* **Triphala:** A combination of three fruits (amla, bibhitaki, and haritaki). Cleanses the body and supports digestion, which can improve immunity.\n\n**Nasal Remedies:**\n\n* **Nasya Oil:** Medicated oil that is applied to the nasal passages to clear congestion and reduce inflammation.\n* **Steam Inhalation:** Steam helps thin mucus and soothe respiratory passages. Add a few drops of eucalyptus or peppermint essential oil to boiling water and inhale the steam.\n\n**Other Remedies:**\n\n* **Ghee:** Clarified butter that has anti-inflammatory and antimicrobial properties. Ghee can be used to massage the chest or taken internally.\n* **Nasal Irrigation:** Using a neti pot or a saline nasal spray to irrigate the nasal passages can help remove mucus and reduce inflammation.\n* **Rest:** Getting plenty of rest is essential for recovery.\n\n**Note:** It is important to consult with an Ayurvedic practitioner before taking any medications, as some can have contraindications or may not be suitable for everyone."
